type,page,score,H,A,L,B,ingredient_en,ingredient_zh,remarks_en,remarks_zh
item,5,0,,,,,"amaranth, Amaranthus",苋属籽粒、苋米,"May cause diarrhea in some cases. This entry refers to the pseudo grain called amaranth, (plant genus Amaranthus). Not to be confused with the azo dye amaranth (an artificial food coloring).",某些情况下可能导致腹泻。本条指称为苋米的伪谷物（苋属植物），不要与偶氮染料苋菜红（一种人工食用色素）混淆。
item,5,1,?,,,,baked goods,烤货,"Problems are often caused by: malt, iodine, long fermentation times of yeast or sourdough, possibly also ATI grains (certain varieties with amylase-tryptase- inhibitors, undeclared)",问题常由以下因素引起：麦芽、碘、酵母或酸面团长时间发酵，也可能与 ATI 谷物有关（某些含淀粉酶-胰蛋白酶抑制剂的品种，通常未标注）。
item,5,1,,,,,barley,大麦,,
item,5,2,?,?,?,,"barley malt, malt","大麦麦芽,麦芽",,
item,5,1,?,,,,bread,面包,"Problematic ingredients: malt, iodine, long fermentation times of yeast or sourdough, possibly also ATI grains (certain varieties with amylase-tryptase- inhibitors, undeclared)",问题成分：麦芽、碘、酵母或酸面团长时间发酵，也可能包括 ATI 谷物（某些含淀粉酶-胰蛋白酶抑制剂的品种，通常未标注）。
item,5,2,,?,?,,buckwheat,荞麦,"Only incompatible, if not thoroughly peeled?",只有在未彻底去皮时才不兼容？
item,5,0,,,,,"chestnut, sweet chestnut",栗子、甜栗,,
item,5,0,,,!,,cornflakes (if no additives such as malt or folic acid),玉米片（无麦芽或叶酸等添加剂）,"Be careful with malt, folic acid",注意麦芽和叶酸。
item,5,0,,,,,hemp seeds (Cannabis sativa),大麻种子(Cannabis sativa),The legal non-psychoactive subspecies,合法的非精神活性亚种。
item,5,0,,,,,"KAMUT®, Khorasan wheat","卡穆特,呼罗珊小麦",Prefer old varieties (e.g. KAMUT®). Modern ATI-varieties modified by cultivation are often not well tolerated.,优先选择古老品种（如 KAMUT®）。现代育种改良的 ATI 品种通常耐受性较差。
item,5,0,,,,,"Khorasan wheat or Oriental wheat (Triticum turgidum ssp. turanicum), KAMUT®","霍拉桑小麦或东方小麦(Triticum turgidum ssp. turanicum),KAMUT®",Prefer old varieties (e.g. KAMUT®). Modern ATI-varieties modified by cultivation are often not well tolerated.,优先选择古老品种（如 KAMUT®）。现代育种改良的 ATI 品种通常耐受性较差。
item,5,2,?,?,?,,"malt, barley malt",大麦麦芽,,
item,5,0,,,,,maltodextrin,马氏剂,,
item,5,0,,,,,millet,小米,,
item,5,0,,,,,oats,燕麦,Some varieties may sometimes be intolerated (flatulence).,某些品种有时可能不耐受（胀气）。
item,5,0,,,,,pearl sago,珍珠酱,,
item,6,0,,,,,potato with peel,土豆带皮,Dark place! Green points are poisonous! Possibly incompatible for those with salicylate intolerance,避光保存！发绿部位有毒！对水杨酸盐不耐受者可能不兼容。
item,6,0,,,,,"potato, new, with peel","土豆,新,带皮",Dark place! Green points are poisonous! Possibly incompatible for those with salicylate intolerance,避光保存！发绿部位有毒！对水杨酸盐不耐受者可能不兼容。
item,6,0,,,,,"potato, peeled","土豆,剥皮",Dark place! Green points are poisonous!,避光保存！发绿部位有毒！
item,6,0,,,,,quinoa,qui,Possibly not always well tolerated?,可能并非总是耐受良好？
item,6,0,,,,,rice,米,"After cooking, store in the fridge up to 12-24 hours max.",烹饪后冷藏保存最多 12-24 小时。
item,6,0,,,,,"rice buiscuits, rice cakes","大米饼干,大米蛋糕",Slightly worse tolerated than freshly cooked rice,耐受性略低于刚煮好的米饭。
item,6,0,,,,,rice crispies,大米脆饼,"Be careful with malt, folic acid",注意麦芽和叶酸。
item,6,0,,,,,rice noodles,饭面,Slightly worse tolerated than freshly cooked rice,耐受性略低于刚煮好的米饭。
item,6,1,,,,,rye,黑麦,Barely tolerated,几乎不耐受。
item,6,0,,,,,sago,萨果,,
item,6,0,,,?,,spelt,斯佩尔特小麦,Prefer old varieties. Modern ATI-varieties modified by cultivation are often not well tolerated.,优先选择古老品种。现代育种改良的 ATI 品种通常耐受性较差。
item,6,2,,,L,,sunflower seeds,向日葵种子,,
item,6,0,,,,,"sweet corn, maize kernels: corn on the cob, fresh / pasteurised","甜玉米、玉米内核:旱桶上的玉米,新鲜/",Hard to digest.,较难消化。
item,6,0,,,,,"sweet corn, maize kernels: dried (maize meal, maize flour)",甜玉米、玉米内核:干(玉米面粉),,
item,6,0,,,,,"sweet corn, maize kernels: out of the tin","甜玉米,玉米内核:出锡",Hard to digest. Possibly incompatible after long-term storage or in large quantities?,较难消化。长期储存后或大量摄入时可能不兼容？
item,6,0,,,,,sweet potato,甜马铃薯,,
item,6,1,?,,?,,wheat,小麦,Uneven. Mostly digestive problems like flatulence.,个体差异较大；多为胀气等消化问题。
item,6,2,,A,L,,wheat germ,小麦菌,"Putrescine, spermine, spermidine, cadaverine",腐胺、精胺、亚精胺、尸胺。
item,6,0,,,,,wild rice,野米饭,Wild rice is not botanically related to rice.,野米与大米没有植物关系.
item,6,0,,,,,yam,扬,,
category,6,,,,,,Nuts,坚果,,
item,6,1,,,,,almond,杏仁,Small amounts are well tolerated. May cause e.g. sleep problems.,"少量是完全耐受的,可能会造成睡眠问题。"
item,6,0,,,,,Brazil nut,巴西坚果,Max. 1-2 nuts per day are a good source of selenium,最大每天1-2个坚果是硒的好来源
item,6,1,,A,L,,cashew nut,腰果坚果,,
item,6,0,,,,,chufa sedge (Cyperus esculentus),chu(Cyperus esculentus)为chu科 属下的一个种.,"Actually not a nut, but tuber (thickening of stolons)",严格说不是坚果，而是块茎（匍匐茎膨大部分）。
item,6,2,,,?,,"chufa sedge (Cyperus esculentus), roasted",烤焦的树枝,"Actually not a nut, but tuber (thickening of stolons)",严格说不是坚果，而是块茎（匍匐茎膨大部分）。
item,6,0,,,,,earth almond,土杏红,"Actually not a nut, but tuber (thickening of stolons)",严格说不是坚果，而是块茎（匍匐茎膨大部分）。
item,6,1,,,L,,hazelnut,榛子,,
item,6,0,,,,,macadamia,母亲,,
item,6,0,,,,,nut grass,坚果草,"Actually not a nut, but tuber (thickening of stolons)",严格说不是坚果，而是块茎（匍匐茎膨大部分）。
item,6,3,,,,,nuts,坚果,Uneven. See individual species.,"不均匀,见个别物种。"
item,6,2,,,,,peanuts,花生酱,,
item,6,1,,,?,,pine nuts,松坚果,Several species. Maybe not all of them with the same compatibility?,"有几个物种,也许不是全部都具有相同的兼容性?"
item,6,0,,,,,pistachio,开心果,,
item,6,0,,,,,tiger nut sedge,老虎螺丝,"Actually not a nut, but tuber (thickening of stolons)",严格说不是坚果，而是块茎（匍匐茎膨大部分）。
item,6,3,,A,L,,walnut,核桃,,
item,6,0,,,,,yellow nutsedge,黄坚果,"Actually not a nut, but tuber (thickening of stolons)",严格说不是坚果，而是块茎（匍匐茎膨大部分）。
category,6,,,,,,Fats a,脂肪 a,,
item,6,0,,,,,black caraway oil (Nigella sativa),黑色汽车油(Nigella sativa),antiallergic,抗过敏
item,6,0,,,,,canola oil,卡诺拉油,,
item,6,0,,,,,"coconut fat, coconut oil, copra oil",椰子脂肪、椰子油、椰子油,Very recommended,非常推荐
item,6,0,,,,,fennel flower oil (Nigella sativa),芬内尔花油(Nigella sativa),antiallergic,抗过敏
item,6,0,,,,,margarine (check for intolerated additives),黄油(检查耐用添加剂),Check for incompatible additives,检查不兼容添加剂
item,6,0,,,,,Nigella sativa oil,奈杰拉·萨蒂瓦油,antiallergic,抗过敏
item,6,0,,,,,nutmeg flower oil (Nigella sativa),坚果花油(Nigella sativa),antiallergic,抗过敏
item,6,0,,,,,olive oil,橄榄油,Incompatible for those with salicylate intolerance,对水杨酸盐不耐受者不兼容。
item,6,0,,,,,palm kernel oil,棕榈内核油,"Should not be bought for ecological reasons. Apart from that, it is recommended.",出于生态原因不建议购买；除此之外，该食物本身是推荐的。
item,6,0,,,,,"palm oil, dendê oil",棕榈油、干油,"Should not be bought for ecological reasons. Apart from that, it is recommended.",出于生态原因不建议购买；除此之外，该食物本身是推荐的。
item,6,0,,,,,pumpkin seed oil,南瓜种子油,"This oil is made by pressing roasted, hulled pumpkin seeds (pepitas), from a local variety of pumpkin, the Styrian oil pumpkin.","这种油是由按压烤制的,壳状的南瓜种子(pepitas)制成的,来自当地的多种南瓜,即斯蒂利亚油南瓜."
item,6,0,,,,,rape seed oil,强奸种子油,,
item,6,0,,,,,Roman coriander oil (Nigella sativa),罗马科里安德油(Nigella sativa),antiallergic,抗过敏
item,6,0,,,,,safflower oil,红花油,,
item,6,1,,,,,sunflower oil,葵花籽油,"A single dose is no problem, but is inflammatory in the long term.","单剂量是没有问题的,但长期来说是煽动性的。"
item,6,2,,,?,,walnut oil,核桃油,,
category,6,,,,,,Veget,植物,,
item,6,0,,,,,artichoke,洋蓟,,
item,6,0,,,,,asparagus,芦笋,,
item,6,2,H,?,?,?,aubergine,欧文,,
item,6,2,H,,L,,avocado,鳄梨,,
item,6,?,,,,,bamboo shoots,竹子射击,,
item,7,2,,,L,,beans (pulses),豆类(脉冲),Applies to virtually all types / varieties. Some tolerated exceptions are possible in some cases.,"适用于几乎所有类型/品种,在某些情况下可以允许一些例外。"
item,7,0,,,,,beetroot,甜菜根,,
item,7,2,,,,,bell pepper (hot),铃椒(热),,
item,7,0,,,,,bell pepper (sweet),铃椒(甜),,
item,7,0,,,,,bok choi,k,,
item,7,2,,,,,borlotti beans,波罗提豆,,
item,7,2,H,?,?,?,brinjal,布林贾尔,,
item,7,0,,,,,broccoli,西兰花,,
item,7,1,,,L,,brussels sprouts,布鲁斯芽,,
item,7,0,,,,,"cabbage, green or white","小白菜,绿色或白色",,
item,7,0,,,,,cabbagge (excepting coliflower and kohlrabi),出租车包(科利花和科拉比除外),,
item,7,0,,,,,carrot,胡萝卜,,
item,7,0,,,,,cauliflower,菜叶花,,
item,7,0,,,,,celery,芹菜,,
item,7,0,,,,,celery cabbage (Brassica rapa subsp. pekinensis),芹菜(学名:Brassica rapa subsp. pekinensis)为茜草科芹菜属下的一个种.,,
item,7,1,,,?,,chard stalks (Beta vulgaris subsp. vulgaris),粗粗粗粗的细茎,,
item,7,?,,,,,chayote,蓝宝石,Possibly not well tolerated.,可能耐受性不佳。
item,7,2,,,,,chickpeas,小鸡豆,,
item,7,0,,,,,chicory (Cichorium intybus),鸡尾酒(Cichorium intybus),,
item,7,2,,,?,,"chili pepper, red, fresh","辣椒,红色,新鲜的",Hotness is irritating,热是刺激
item,7,?,,,,,choko,cho子,Possibly not well tolerated.,可能耐受性不佳。
item,7,0,,,,,"corn salad, lamb's lettuce (Valerianella locusta)","玉米沙拉,羊肉生菜(Valerianella蝗虫)",,
item,7,0,,,,,courgette,外观,,
item,7,?,,,?,,cress: garden cress (Lepidium sativum),装潢:园林装潢,,
item,7,0,,,,,cucumber,黄瓜,,
item,7,2,H,?,?,?,eggplant,茄子,,
item,7,0,,,,,endive (Cichorium endivia),止痛药(Cichorium 止痛药),,
item,7,0,,,,,fennel,芬内尔,,
item,7,?,,,?,,garden cress (Lepidium sativum),园林服饰( Lepidium sitivum),,
item,7,1,,,,,garlic,大蒜,"In small amounts, usually well tolerated after cooking",少量的 通常在做饭后会被耐受
item,7,1,,,,,German turnip,德国萝卜,,
item,7,0,,,,,gourds,瓜类,,
item,7,1,,,,,green beans,绿豆,Can be well tolerated in some cases,在某些情况下是可以耐受的
item,7,1,,,,,green peas,绿色豌豆,,
item,7,1,,,,,green split peas,绿色分裂的豌豆,,
item,7,1,,,L,,horseradish,马铃薯,,
item,7,2,,,L,,kelp (large seaweeds (algae) belonging to the brown algae),海藻(棕藻属大海藻).,e.g. as an ingredient in seasoned salt / herbal salt,"例如,作为成熟盐/草盐的成分"
item,7,1,,,,,kohlrabi,科尔拉比,,
item,7,0,,,,,"lamb's lettuce, corn salad (Valerianella locusta)",羊肉生菜、玉米沙拉(Valerianella蝗虫),,
item,7,1,,,?,,leek,莱克,"In small amounts, usually well tolerated","少量的,通常会耐受的"
item,7,2,,,,,lentils,扁豆类,,
item,7,0,,,,,lettuce iceberg,结冰山,,
item,7,0,,,,,lettuce: head and leaf lettuces,生菜:头叶生菜,Rating applies to the plant without dressing,对植物进行不敷料的评分
item,7,0,,,,,marrow,髓,,
item,7,?,,,,,"mungbeans (germinated, sprouting)","m豆(变种,增生)",,
item,7,0,,,,,napa cabbage,纳帕小白菜,,
item,7,2,?,?,,,olives,橄榄,"Usually fermented, sometimes with intolerated ingredients","通常发酵,有时带有耐用成分"
item,7,1,,,L,,onion,洋葱,Incompatible in large quantities,大量摄入时不兼容。
item,7,0,,,,,pak choi,ak,,
item,7,0,,,,,parsnip,剖析,,
item,7,2,,,L,,perennial wall-rocket (Diplotaxis tenuifolia),常年墙壁火箭,,
item,7,3,H,,,,pickled cabbage,腌白菜,,
item,7,2,H,?,,,pickled cucumber,腌黄瓜,,
item,7,2,H,?,,,pickled gherkin,腌黄瓜,,
item,7,2,H,?,,,pickled vegetables,腌制蔬菜,,
item,7,2,,,L,,"pulses (soy, beans, peas, lentils…)","脉(豆,豆,豆,扁豆. )",,
item,7,0,,,,,pumpkins (various varieties),南瓜(各种品种),,
item,7,0,,,,,radish: red radish (the tiny red round ones),萝卜:红萝卜(小红圆的),,
item,7,0,,,,,radish: white radish (the long white ones),萝卜:白萝卜(长白),,
item,7,0,,,?,,red cabbage,红白菜,,
item,7,3,H,,,,sauerkraut,au,,
item,7,1,,,?,,Savoy cabbage,萨伏依小白菜,,
item,7,1,,,,,snow peas,雪豌豆,,
item,7,2,,,,,"soy (soy beans, soy flour)",豆类(豆类、豆粉),,
item,7,2,,,,,spinach,菠菜,,
item,8,0,,,,,squashes,壁球,,
item,8,2,H,?,?,,stinging nettle (Urtica dioica),刺网(Urtica dioica),,
item,8,2,H,,L,,tomato,番茄,,
item,8,?,,,,,turnip,萝卜,,
item,8,1,,,,,turnip cabbage,萝卜小白菜,,
item,8,2,,,,,"Vicia faba, broad bean","Vicia faba, 宽豆",,
item,8,0,,,,,white onion,白洋葱,"A type of onion that has a pure white skin and a sweet, mild white flesh (not the common onion).",一类洋葱具有纯白皮肤和甜美温和的白肉(而非常见的洋葱).
item,8,1,,,,,yellow split peas,黄色分裂的豌豆,,
item,8,0,,,,,zucchini,西葫芦,,
category,8,,,,,,Herbs,草药,,
item,8,0,,,,,basil,罗勒,,
item,8,1,,,L,,bear leek (Allium ursinum),熊列克( ursinum Allium),Small amounts are well tolerated.,少量通常耐受。
item,8,1,,,L,,bear's garlic (Allium ursinum),熊蒜(ium),Small amounts are well tolerated.,少量通常耐受。
item,8,2,,,,,blue fenugreek (Trigonella caerulea),蓝色 fenugreek(三角形),,
item,8,1,,,L,,broad-leaved garlic (Allium ursinum),阔叶大蒜(ium),Small amounts are well tolerated.,少量通常耐受。
item,8,1,,,L,,buckrams (Allium ursinum),budrams( ursinum Allium) (阿勒姆乌斯宁),Small amounts are well tolerated.,少量通常耐受。
item,8,1,,,,,chives,乌鸦,Incompatible in large quantities,大量摄入时不兼容。
item,8,2,,,,,clover (trigonella and trifolium species),丁香草(三孔虫和三孔虫),"For example, fenugreek, blue fenugreek",例如葫芦巴、蓝葫芦巴。
item,8,1,,,,,dill,迪尔,Small amounts usually not a problem. High salicylate content.,"小量通常不成问题,高盐酸含量。"
item,8,2,,,,,fenugreek (Trigonella foenum-graecum),fenugreek (特里贡内拉胎儿-腺肿),,
item,8,0,,,,,mint,薄荷,Incompatible for those with salicylate intolerance,对水杨酸盐不耐受者不兼容。
item,8,0,,,,,oregano,奥雷根诺,,
item,8,0,,,,,parsley,欧芹,,
item,8,1,,,L,,ramsons (Allium ursinum),拉姆松(乌西南),Small amounts are well tolerated.,少量通常耐受。
item,8,0,,,,,rosemary,迷宫,,
item,8,0,,,,,sage,贤者,,
item,8,0,,,,,savory (Satureja hortensis),口味( Satureja hortensis) Name,,
item,8,2,,,,,trifolium,三离子,"For example, fenugreek, blue fenugreek",例如葫芦巴、蓝葫芦巴。
item,8,2,,,,,trigonella,三边形,"For example, fenugreek, blue fenugreek",例如葫芦巴、蓝葫芦巴。
item,8,1,,,L,,wild garlic (Allium ursinum),野生大蒜(亚麻),Small amounts are well tolerated.,少量通常耐受。
item,8,1,,,L,,wood garlic (Allium ursinum),木蒜(硫磺),Small amounts are well tolerated.,少量通常耐受。
category,8,,,,,,Fruits,水果,,
item,8,0,,,,,"acerola, acerola powder, Barbados cherry, West Indian cherry, wild crepe myrtle","阿塞罗拉,阿塞罗拉粉,巴巴多斯樱桃,西印度樱桃,野生樱桃",,
item,8,0,,,,,apple,苹果,,
item,8,0,,,,,apple: Golden Delicious,苹果:黄金美味,,
item,8,0,,,,,apricot,杏类,,
item,8,?,,,,,"aronia, chokeberries, red chokeberry (Aronia arbutifolia), black chokeberry (Aronia melanocarpa)","红 choke(Aronia arbutifolia),黑 choke(Aronia melanocarpa)",,
item,8,?,,,,,Asimina triloba,Asimina 三边形,,
item,8,2,H,,L,,avocado,鳄梨,,
item,8,2,,A,,,banana,香蕉,(The greener the better tolerated?),(越绿越耐受? )
item,8,?,,,,,Barbary fig (Opuntia ficus-indica),巴巴利无花果(Opuntia ficus-indica),Avoid skin contact with the spikes!,避免皮肤接触刺。
item,8,0,,,,,blackberry,黑莓树,,
item,8,0,,,,,blackcurrants,黑色曲线,,
item,8,0,,,,,blueberries,蓝莓,,
item,8,?,,,,,boysenberry,红莓,,
item,8,?,,,,,cactus pear (Opuntia ficus-indica),仙人掌梨(学名:Opuntia ficus-indica)为茜草科梨属下的一个种.,Avoid skin contact with the spikes!,避免皮肤接触刺。
item,8,0,,,,,"carambola, starfruit","卡兰博拉,星果",,
item,8,0,,,,,cherry,樱桃,Controversial,有争议的
item,8,2,,A,L,,citrus fruits,柑橘果实,,
item,8,0,,?,,,cocoa butter,可可黄油,Mostly well tolerated,通常耐受良好。
item,8,2,,A,L,,"cocoa, cocoa powder (chocolate, etc.)",可可、可可粉(巧克力等),,
item,8,0,,,,,"coconut, coconut shavings, coconut milk",椰子、椰蓉、椰奶,Good source of selenium,硒的良好来源
item,8,?,,,,,common pawpaw of NE-USA,美国本土常见的爪子,,
item,8,0,,,,,common sea-buckthorn (Hippophaë rhamnoides),普通海角(Hippophaë rhamnoides),,
item,8,0,,,,,cowberry,黄莓,,
item,8,0,,,,,cranberry,蔓越莓,,
item,8,0,,,,,"dates (dried, desiccated)",枣（干枣）,,
item,8,1,,,L,,dog rose (Rosa canina),犬蔷薇（Rosa canina）,,
item,8,0,,,,,"dragon fruit, pitaya, pitahaya",火龙果,,
item,8,1,,,,,figs (fresh or dried),无花果（新鲜或干燥）,May be slightly laxative,可能有点松
item,8,0,,,,,"goji berry, Chinese wolfberry, Chinese boxthorn, Himalayan goji, Tibetan goji",枸杞、中华枸杞、喜马拉雅枸杞、藏枸杞,,
item,8,0,,,,,"gooseberry, gooseberries",醋栗,,
item,8,2,,A,L,,grapefruit,葡萄柚,,
item,9,0,,?,,,grapes,葡萄,,
item,9,2,,,?,,guava,番石榴,,
